"acc_year","cal_year","dev_year","premium","cumulative_paid","incremental_paid"
2006,2006,1,1e+07,357848,357848
2006,2007,2,1e+07,1124788,766940
2006,2008,3,1e+07,1735330,610542
2006,2009,4,1e+07,2218270,482940
2006,2010,5,1e+07,2745596,527326
2006,2011,6,1e+07,3319994,574398
2006,2012,7,1e+07,3466336,146342
2006,2013,8,1e+07,3606286,139950
2006,2014,9,1e+07,3833515,227229
2006,2015,10,1e+07,3901463,67948
2007,2007,1,10400000,352118,352118
2007,2008,2,10400000,1236139,884021
2007,2009,3,10400000,2170033,933894
2007,2010,4,10400000,3353322,1183289
2007,2011,5,10400000,3799067,445745
2007,2012,6,10400000,4120063,320996
2007,2013,7,10400000,4647867,527804
2007,2014,8,10400000,4914039,266172
2007,2015,9,10400000,5339085,425046
2008,2008,1,10800000,290507,290507
2008,2009,2,10800000,1292306,1001799
2008,2010,3,10800000,2218525,926219
2008,2011,4,10800000,3235179,1016654
2008,2012,5,10800000,3985995,750816
2008,2013,6,10800000,4132918,146923
2008,2014,7,10800000,4628910,495992
2008,2015,8,10800000,4909315,280405
2009,2009,1,11200000,310608,310608
2009,2010,2,11200000,1418858,1108250
2009,2011,3,11200000,2195047,776189
2009,2012,4,11200000,3757447,1562400
2009,2013,5,11200000,4029929,272482
2009,2014,6,11200000,4381982,352053
2009,2015,7,11200000,4588268,206286
2010,2010,1,11600000,443160,443160
2010,2011,2,11600000,1136350,693190
2010,2012,3,11600000,2128333,991983
2010,2013,4,11600000,2897821,769488
2010,2014,5,11600000,3402672,504851
2010,2015,6,11600000,3873311,470639
2011,2011,1,1.2e+07,396132,396132
2011,2012,2,1.2e+07,1333217,937085
2011,2013,3,1.2e+07,2180715,847498
2011,2014,4,1.2e+07,2985752,805037
2011,2015,5,1.2e+07,3691712,705960
2012,2012,1,12400000,440832,440832
2012,2013,2,12400000,1288463,847631
2012,2014,3,12400000,2419861,1131398
2012,2015,4,12400000,3483130,1063269
2013,2013,1,12800000,359480,359480
2013,2014,2,12800000,1421128,1061648
2013,2015,3,12800000,2864498,1443370
2014,2014,1,13200000,376686,376686
2014,2015,2,13200000,1363294,986608
2015,2015,1,13600000,344014,344014
